facility_code,facility_name,priority,official_subpage_url,address,court_count,surface_type,lighting_available,operating_hours_summer,operating_hours_winter,closed_days,parking,changing_shower,fee_basic,fee_lighting,fee_nonresident,phone_number,latitude,longitude,booking_method,registration_required,nonresident_policy,same_day_booking,notes,status,verified_at
NAG-TEN-001,長野市営城山テニスコート,A,https://www.city.nagano.nagano.jp/n155400/contents/p003058.html,長野市箱清水1-10-41,3,砂入り人工芝,TRUE,5-9月 6:30-21:00,1-3,12月 8:30-17:00 / 4,10-11月 8:30-21:00,,,,要PDF確認,要PDF確認,要PDF確認,026-235-5144,,,予約不要,不要,要確認,要確認,城山公園内。ナイター可。料金PDF: /documents/3266/119446.pdf,済,2026-05-23
NAG-TEN-002,長野市営古里テニスコート,A,https://www.city.nagano.nagano.jp/n155400/contents/p003059.html,長野市大字下駒沢23,2,クレー,,5-9月 6:30-日没,4,10-11月 8:30-日没,冬季(12-3月)閉場の可能性,,,要PDF確認,要PDF確認,要PDF確認,026-295-9707,,,Web,要確認,要確認,要確認,古里公民館管理。クレー2面。,済,2026-05-23
NAG-TEN-003,長野市営緑ケ丘テニスコート,A,https://www.city.nagano.nagano.jp/n155400/contents/p003060.html,長野市神楽橋39-2,3,砂入り人工芝,,5-10月 7:00-日没,1-4,11-12月 8:30-日没,,,,要PDF確認,要PDF確認,要PDF確認,026-224-5083,,,Web,要確認,要確認,要確認,砂入り人工芝3面。ナイター要確認,済,2026-05-23
NAG-TEN-004,長野市営大豆島テニスコート,A,https://www.city.nagano.nagano.jp/n155400/contents/p003061.html,長野市大字大豆島4330,4,砂入り人工芝,,5-10月 7:00-日没,1-4,11-12月 8:30-日没,,,,要PDF確認,要PDF確認,要PDF確認,026-224-5083,,,Web,要確認,要確認,要確認,砂入り人工芝4面。ナイター要確認,済,2026-05-23
NAG-TEN-005,長野市営昭和の森公園テニスコート,A,https://www.city.nagano.nagano.jp/n155400/contents/p003062.html,長野市上野2-120-13,2,クレー,,4-11月 8:30-日没,(閉場),冬季(12-3月)閉場の可能性大,,,要PDF確認,要PDF確認,要PDF確認,026-295-3055,,,Web,要確認,要確認,要確認,昭和の森公園内。クレー2面。予約取消連絡先,済,2026-05-23
NAG-TEN-006,長野市営篠ノ井テニスコート,A,https://www.city.nagano.nagano.jp/n155400/contents/p003063.html,長野市篠ノ井塩崎4720,3,全天候型舗装,,通年 8:30-日没,通年 8:30-日没,,,,要PDF確認,要PDF確認,要PDF確認,026-292-2121,,,Web,要確認,要確認,要確認,篠ノ井交流センター管理。全天候型舗装3面,済,2026-05-23
NAG-TEN-007,長野市営川柳テニスコート,A,https://www.city.nagano.nagano.jp/n155400/contents/p003064.html,長野市篠ノ井石川1523-2,3,クレー,,4-11月 8:30-日没,(閉場),冬季(12-3月)閉場の可能性大,,,要PDF確認,要PDF確認,要PDF確認,026-292-2121,,,Web,要確認,要確認,要確認,篠ノ井交流センター管理。クレー3面,済,2026-05-23
NAG-TEN-008,長野市営若穂中央公園テニスコート,B,https://www.city.nagano.nagano.jp/n155400/contents/p003065.html,長野市若穂川田427-1,4,砂入り人工芝,TRUE,5-9月 6:30-21:00,1-3,12月 8:30-17:00,,,,要PDF確認,要PDF確認,要PDF確認,026-282-2095,,,予約不要,不要,要確認,要確認,若穂中央公園内。ナイター可！料金PDF: /documents/3273/119446.pdf,済,2026-05-23
NAG-TEN-009,長野市営御厨テニスコート,A,https://www.city.nagano.nagano.jp/n155400/contents/p003066.html,長野市川中島町御厨562,2,全天候型舗装,FALSE,5-9月 6:30-日没,10-4月 8:30-日没,,,,要PDF確認,(ナイターなし),要PDF確認,026-224-5083,,,Web,要確認,要確認,要確認,全天候型舗装2面。ナイターなし,済,2026-05-23
NAG-TEN-010,長野市営豊野テニスコート,B,https://www.city.nagano.nagano.jp/n155400/contents/p003067.html,長野市豊野町豊野820-1,2,クレー,FALSE,4-11月 8:30-18:00,(閉場),冬季(12-3月)閉場,,,無料,(ナイター不可),(無料),026-224-5083,,,Web,要確認,要確認,要確認,豊野町。クレー2面。利用無料,済,2026-05-23
NAG-TEN-011,長野市営鬼無里テニスコート,C,https://www.city.nagano.nagano.jp/n155400/contents/p003068.html,長野市鬼無里147-2,2,砂入り人工芝,,4-11月 8:30-日没,(閉場),冬季(12-3月)閉場,,,無料,,(無料),026-224-5083,,,Web,要確認,,,鬼無里。砂入り人工芝2面。中山間地・遠方。無料,済,2026-05-23
NAG-TEN-012,長野市営西和田テニスコート,B,https://www.city.nagano.nagano.jp/n155400/contents/p003070.html,長野市大字西和田49-4,4,砂入り人工芝,TRUE,5-9月 6:30-21:00,1-3,12月 8:30-17:00,,,,要PDF確認,要PDF確認,要PDF確認,026-244-8667,,,予約不要,不要,要確認,要確認,西和田。砂入り人工芝4面・ナイター可！管理事務所直通電話,済,2026-05-23
NAG-TEN-013,長野市営茶臼山テニスコート,B,https://www.city.nagano.nagano.jp/n155400/contents/p003071.html,長野市篠ノ井岡田2052-4,3,砂入り人工芝,,通年 8:30-日没,通年 8:30-日没,,,,要PDF確認,要PDF確認,要PDF確認,026-292-5443,,,Web,要確認,要確認,要確認,茶臼山スポーツ施設管理棟。砂入り人工芝3面,済,2026-05-23
NAG-TEN-014,長野市営青垣公園テニスコート,B,https://www.city.nagano.nagano.jp/n155400/contents/p003072.html,長野市松代町西条3860,1,クレー,,4-11月 8:30-日没,(閉場),冬季(12-3月)閉場,,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,要確認,松代町。クレー(表記は2面だが1面使用不可)。無料,済,2026-05-23
NAG-TEN-015,長野市営真島テニスコート,B,https://www.city.nagano.nagano.jp/n155400/contents/p003073.html,真島町真島2268-1,1,全天候型舗装,,8:30-日没,8:30-日没,,,,要PDF確認,要PDF確認,要PDF確認,026-283-7977,,,Web,要確認,要確認,要確認,真島総合スポーツアリーナ。全天候型舗装1面,済,2026-05-23
NAG-TEN-016,長野市営三輪テニスコート,B,https://www.city.nagano.nagano.jp/n155400/contents/p003074.html,長野市三輪3-816,1,クレー,,4-11月 8:30-日没,(閉場),冬季(12-3月)閉場,なし,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,要確認,三輪。クレー1面。駐車場なし。常時開放(受付簿)。無料,済,2026-05-23
NAG-TEN-017,長野市営小松原運動場テニスコート,C,https://www.city.nagano.nagano.jp/n155400/contents/p003022.html,長野市篠ノ井小松原1398-2,1,,,,,,,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,可,自由使用。テニス1面。サーフェス未確認。無料,済,2026-05-23
NAG-TEN-018,長野市営長野運動公園総合運動場テニスコート,A,https://www.city.nagano.nagano.jp/n155400/contents/p003009.html,長野市吉田5-1-19,10,砂入り人工芝,TRUE,,,,,,要PDF確認,要PDF確認,要PDF確認,026-241-4200,,,Web,要確認,要確認,要確認,長野運動公園内。砂入り人工芝10面・ナイター可。市の主力施設,済,2026-05-23
NAG-TEN-019,長野市営南長野運動公園総合運動場テニスコート,A,https://www.city.nagano.nagano.jp/n155400/contents/p003010.html,長野市篠ノ井東福寺320,16,砂入り人工芝,TRUE,,,,,,要PDF確認,要PDF確認,要PDF確認,026-293-4818,,,Web,要確認,要確認,要確認,南長野運動公園内。砂入り人工芝16面・ナイター可。長野市最大級・主力テニス施設,済,2026-05-23
