facility_code,facility_name,municipality,address,indoor_outdoor,surface_type,booking_method,registration_required,nonresident_policy,same_day_booking,official_url,notes,data_confidence,last_verified_at
NAG-TEN-001,長野市営城山テニスコート,長野市,長野市箱清水一丁目10番41号,屋外,要確認,予約不要,不要,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,現地管理棟受付。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-002,長野市営古里テニスコート,長野市,長野市大字下駒沢23番地,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-003,長野市営緑ケ丘テニスコート,長野市,長野市神楽橋39番地2,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-004,長野市営大豆島テニスコート,長野市,長野市大字大豆島4330番地,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-005,長野市営昭和の森公園テニスコート,長野市,長野市上野二丁目120番地13,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-006,長野市営篠ノ井テニスコート,長野市,長野市篠ノ井塩崎4720番地,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-007,長野市営川柳テニスコート,長野市,長野市篠ノ井石川1523番地の2,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-008,長野市営若穂中央公園テニスコート,長野市,長野市若穂川田427番地1,屋外,要確認,予約不要,不要,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,現地受付。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-009,長野市営御厨テニスコート,長野市,長野市川中島町御厨562番地,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-010,長野市営豊野テニスコート,長野市,長野市豊野町豊野820番地1,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-011,長野市営鬼無里テニスコート,長野市,長野市鬼無里147番地2,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-012,長野市営西和田テニスコート,長野市,長野市西和田二丁目26番1号,屋外,要確認,予約不要,不要,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,現地管理棟受付。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-013,長野市営茶臼山テニスコート,長野市,長野市篠ノ井岡田2052番地4,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-014,長野市営青垣公園テニスコート,長野市,長野市松代町西条3860番地,屋外,要確認,予約不要,不要,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,現地受付簿。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-015,長野市営真島テニスコート,長野市,長野市真島町真島2268番地1,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-016,長野市営三輪テニスコート,長野市,長野市三輪3-816,屋外,要確認,予約不要,不要,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,現地受付簿。サーフェス/照明/料金は個別ページまたは電話確認,B,2026-05-21
NAG-TEN-017,長野市営小松原運動場テニスコート,長野市,長野市篠ノ井小松原1398-2,屋外,要確認,予約不要,不要,要確認,可,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,受付なし/当日空き利用,B,2026-05-21
NAG-TEN-018,長野市営長野運動公園総合運動場テニスコート,長野市,長野市吉田5丁目1番地19号,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約,B,2026-05-21
NAG-TEN-019,長野市営南長野運動公園総合運動場テニスコート,長野市,長野市篠ノ井東福寺320番地,屋外,要確認,Web,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,Web予約,B,2026-05-21
NAG-TEN-020,長野市営犀川第一運動場テニスコート,長野市,長野市大字安茂里1605番地の2地先（河川敷）,屋外,要確認,予約不要,不要,要確認,可,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,受付なし/当日空き利用。河川敷,B,2026-05-21
NAG-TEN-021,長野市営犀川第二運動場テニスコート,長野市,長野市青木島町青木島乙954番地の2（河川敷）,屋外,要確認,予約不要,不要,要確認,可,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,受付なし/当日空き利用。河川敷,B,2026-05-21
NAG-TEN-022,長野市営犀川南運動場テニスコート,長野市,長野市丹波島三丁目1052番地（河川敷）,屋外,要確認,予約不要,不要,要確認,可,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,受付なし/当日空き利用。河川敷,B,2026-05-21
NAG-TEN-023,長野市営西寺尾運動場テニスコート,長野市,長野市松代町東寺尾1276番地（河川敷）,屋外,要確認,予約不要,不要,要確認,可,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,受付なし/当日空き利用。河川敷,B,2026-05-21
NAG-TEN-024,長野市営七二会運動場テニスコート,長野市,長野市七二会己989番地のナ,屋外,要確認,予約不要,不要,要確認,可,https://www.city.nagano.nagano.jp/n155400/contents/p003057.html,受付なし/当日空き利用,B,2026-05-21
NAG-SOC-001,南長野運動公園総合運動場,長野市,,屋外,要確認,複合,要確認,要確認,要確認,https://www.city.nagano.nagano.jp/menu/5/3/3/index.html,芝種別/スパイク可否/半面利用を要確認,C,2026-05-21
